payment_key,payment_id,booking_key,payment_method_key,amount,amount_valid,payment_status
78,PAY1077,502,3,,False,INVALID
79,PAY1078,977,2,8576.26,True,VALID
80,PAY1079,334,3,2238.82,True,VALID
81,PAY1080,284,2,1369.37,True,VALID
82,PAY1081,475,1,12076.76,True,VALID
83,PAY1082,54,3,4621.1,True,VALID
84,PAY1083,458,1,5769.17,True,VALID
85,PAY1084,579,1,1897.18,True,VALID
86,PAY1085,420,2,3513.0,True,VALID
87,PAY1086,614,3,11718.47,True,VALID
88,PAY1087,632,2,7909.43,True,VALID
89,PAY1088,703,1,13329.36,True,VALID
90,PAY1089,409,3,6561.39,True,VALID
91,PAY1090,982,1,4761.81,True,VALID
92,PAY1091,304,1,5866.4,True,VALID
93,PAY1092,935,3,10978.81,True,VALID
94,PAY1093,559,3,8770.08,True,VALID
95,PAY1094,222,3,13658.68,True,VALID
96,PAY1095,533,2,9430.36,True,VALID
97,PAY1096,158,2,7902.25,True,VALID
98,PAY1097,348,1,12000.54,True,VALID
99,PAY1098,159,3,14265.47,True,VALID
100,PAY1099,889,1,5981.84,True,VALID
101,PAY1100,884,1,4498.27,True,VALID
102,PAY1101,922,1,9627.04,True,VALID
103,PAY1102,235,1,7984.22,True,VALID
104,PAY1103,662,1,14848.6,True,VALID
105,PAY1104,405,3,7473.06,True,VALID
106,PAY1105,257,2,2040.64,True,VALID
107,PAY1106,677,3,14683.17,True,VALID
108,PAY1107,589,3,12810.22,True,VALID
109,PAY1108,597,3,3495.5,True,VALID
110,PAY1109,558,2,13664.47,True,VALID
111,PAY1110,905,2,5769.34,True,VALID
112,PAY1111,913,2,6279.57,True,VALID
113,PAY1112,47,3,13689.48,True,VALID
114,PAY1113,213,2,8421.62,True,VALID
115,PAY1114,479,1,2928.68,True,VALID
116,PAY1115,487,2,6166.79,True,VALID
117,PAY1116,571,3,11109.36,True,VALID
118,PAY1117,566,3,3438.58,True,VALID
119,PAY1118,342,1,9263.24,True,VALID
120,PAY1119,524,2,10733.84,True,VALID
121,PAY1120,704,2,5813.95,True,VALID
122,PAY1121,503,1,10714.33,True,VALID
123,PAY1122,6,3,13378.9,True,VALID
124,PAY1123,821,3,7609.63,True,VALID
125,PAY1124,144,2,6360.73,True,VALID
126,PAY1125,858,2,4516.22,True,VALID
127,PAY1126,261,2,9458.88,True,VALID
128,PAY1127,585,2,13317.93,True,VALID
129,PAY1128,686,2,5545.26,True,VALID
130,PAY1129,232,3,6547.3,True,VALID
131,PAY1130,270,3,6692.76,True,VALID
132,PAY1131,940,3,8851.37,True,VALID
133,PAY1132,447,3,4197.73,True,VALID
134,PAY1133,874,1,12510.96,True,VALID
135,PAY1134,222,3,5138.43,True,VALID
136,PAY1135,52,1,10875.08,True,VALID
137,PAY1136,116,3,8185.02,True,VALID
138,PAY1137,538,2,9202.57,True,VALID
139,PAY1138,565,2,3514.52,True,VALID
140,PAY1139,877,2,11290.32,True,VALID
141,PAY1140,541,1,3640.69,True,VALID
142,PAY1141,19,3,2588.63,True,VALID
143,PAY1142,815,3,8653.51,True,VALID
144,PAY1143,392,1,10930.16,True,VALID
145,PAY1144,791,1,1700.5,True,VALID
146,PAY1145,629,1,1971.53,True,VALID
147,PAY1146,618,1,12237.51,True,VALID
148,PAY1147,419,1,12326.46,True,VALID
149,PAY1148,991,2,4434.27,True,VALID
150,PAY1149,309,3,9613.19,True,VALID
151,PAY1150,739,1,7204.52,True,VALID
152,PAY1151,864,2,9857.74,True,VALID
153,PAY1152,186,1,13080.31,True,VALID
154,PAY1153,261,2,2117.99,True,VALID
155,PAY1154,528,1,11891.78,True,VALID
156,PAY1155,273,3,7902.41,True,VALID
157,PAY1156,160,1,8897.78,True,VALID
158,PAY1157,870,1,10155.04,True,VALID
159,PAY1158,762,3,13916.72,True,VALID
160,PAY1159,224,3,1794.08,True,VALID
161,PAY1160,256,1,1412.67,True,VALID
162,PAY1161,180,3,3495.66,True,VALID
163,PAY1162,20,3,14810.27,True,VALID
164,PAY1163,624,2,11011.07,True,VALID
165,PAY1164,632,3,9604.98,True,VALID
166,PAY1165,706,3,1658.55,True,VALID
167,PAY1166,468,1,13307.54,True,VALID
168,PAY1167,623,1,12378.6,True,VALID
169,PAY1168,210,2,10307.2,True,VALID
170,PAY1169,513,1,5747.83,True,VALID
171,PAY1170,58,3,1987.07,True,VALID
172,PAY1171,93,3,9120.54,True,VALID
173,PAY1172,221,3,11075.72,True,VALID
174,PAY1173,723,1,,False,INVALID
175,PAY1174,940,3,9872.75,True,VALID
176,PAY1175,232,3,5009.12,True,VALID
177,PAY1176,774,2,11699.42,True,VALID
178,PAY1177,364,2,8554.62,True,VALID
179,PAY1178,615,2,2806.52,True,VALID
180,PAY1179,562,1,8371.27,True,VALID
181,PAY1180,374,3,6540.32,True,VALID
182,PAY1181,622,3,3524.98,True,VALID
183,PAY1182,456,3,12781.22,True,VALID
184,PAY1183,88,2,1154.4,True,VALID
185,PAY1184,20,3,,False,INVALID
186,PAY1185,14,3,1176.33,True,VALID
187,PAY1186,133,3,,False,INVALID
188,PAY1187,937,3,5159.35,True,VALID
189,PAY1188,808,3,1759.8,True,VALID
190,PAY1189,34,1,9352.83,True,VALID
191,PAY1190,892,3,2216.08,True,VALID
192,PAY1191,208,1,10823.99,True,VALID
193,PAY1192,813,3,1736.99,True,VALID
194,PAY1193,199,1,1830.32,True,VALID
195,PAY1194,592,3,5274.56,True,VALID
196,PAY1195,583,3,13552.0,True,VALID
197,PAY1196,155,3,9979.51,True,VALID
198,PAY1197,590,3,11781.84,True,VALID
199,PAY1198,78,2,2981.73,True,VALID
200,PAY1199,172,3,12677.76,True,VALID
201,PAY1200,289,1,1114.05,True,VALID
202,PAY1201,545,2,3982.8,True,VALID
203,PAY1202,812,2,9625.29,True,VALID
204,PAY1203,788,3,6253.45,True,VALID
205,PAY1204,879,1,14778.71,True,VALID
206,PAY1205,420,1,1424.75,True,VALID
207,PAY1206,7,2,14980.37,True,VALID
208,PAY1207,160,1,,False,INVALID
209,PAY1208,240,3,8821.9,True,VALID
210,PAY1209,963,3,1833.17,True,VALID
211,PAY1210,423,3,4826.6,True,VALID
212,PAY1211,989,3,13945.28,True,VALID
213,PAY1212,536,3,5959.44,True,VALID
214,PAY1213,726,2,,False,INVALID
215,PAY1214,70,3,14992.95,True,VALID
216,PAY1215,880,3,4682.98,True,VALID
217,PAY1216,216,2,9065.13,True,VALID
218,PAY1217,104,2,10750.13,True,VALID
219,PAY1218,727,2,3304.78,True,VALID
220,PAY1219,54,1,3081.42,True,VALID
221,PAY1220,806,1,,False,INVALID
222,PAY1221,330,3,6401.38,True,VALID
223,PAY1222,848,3,10999.02,True,VALID
224,PAY1223,203,3,1973.12,True,VALID
225,PAY1224,288,1,14610.33,True,VALID
226,PAY1225,45,3,1199.88,True,VALID
227,PAY1226,829,3,9418.44,True,VALID
228,PAY1227,198,1,8876.86,True,VALID
229,PAY1228,216,2,2886.02,True,VALID
230,PAY1229,481,1,3112.82,True,VALID
231,PAY1230,309,3,12097.48,True,VALID
232,PAY1231,896,1,13425.87,True,VALID
233,PAY1232,435,2,4962.24,True,VALID
234,PAY1233,332,2,7131.5,True,VALID
235,PAY1234,696,2,5969.93,True,VALID
236,PAY1235,27,2,2015.66,True,VALID
237,PAY1236,166,2,10424.86,True,VALID
238,PAY1237,318,2,12552.7,True,VALID
239,PAY1238,274,3,5268.31,True,VALID
240,PAY1239,383,3,14862.46,True,VALID
241,PAY1240,365,1,2061.92,True,VALID
242,PAY1241,103,3,10265.07,True,VALID
243,PAY1242,960,2,7275.19,True,VALID
244,PAY1243,503,3,7252.43,True,VALID
245,PAY1244,845,1,,False,INVALID
246,PAY1245,373,2,4621.54,True,VALID
247,PAY1246,616,3,11017.88,True,VALID
248,PAY1247,926,3,11102.07,True,VALID
249,PAY1248,245,1,4953.56,True,VALID
250,PAY1249,817,2,,False,INVALID
251,PAY1250,169,1,5435.83,True,VALID
252,PAY1251,628,2,11151.3,True,VALID
253,PAY1252,653,2,2694.0,True,VALID
254,PAY1253,418,3,3361.82,True,VALID
255,PAY1254,356,1,5421.14,True,VALID
256,PAY1255,478,1,9314.23,True,VALID
257,PAY1256,125,1,,False,INVALID
258,PAY1257,537,2,6548.99,True,VALID
259,PAY1258,706,1,2089.75,True,VALID
260,PAY1259,896,2,6230.89,True,VALID
261,PAY1260,612,1,10642.75,True,VALID
262,PAY1261,402,1,10393.94,True,VALID
263,PAY1262,517,3,3242.75,True,VALID
264,PAY1263,531,1,1108.98,True,VALID
265,PAY1264,682,3,11541.74,True,VALID
266,PAY1265,786,3,2489.15,True,VALID
267,PAY1266,254,2,2152.89,True,VALID
268,PAY1267,121,1,1037.82,True,VALID
269,PAY1268,32,1,7056.42,True,VALID
270,PAY1269,661,1,,False,INVALID
271,PAY1270,778,3,9927.3,True,VALID
272,PAY1271,37,1,5144.89,True,VALID
273,PAY1272,689,2,10945.95,True,VALID
274,PAY1273,342,2,,False,INVALID
275,PAY1274,13,1,12647.86,True,VALID
276,PAY1275,183,3,9005.88,True,VALID
277,PAY1276,657,2,9174.46,True,VALID
278,PAY1277,265,2,3936.86,True,VALID
279,PAY1278,88,3,2037.52,True,VALID
280,PAY1279,940,2,7506.15,True,VALID
281,PAY1280,462,3,9618.57,True,VALID
282,PAY1281,46,2,2330.65,True,VALID
283,PAY1282,392,3,14307.48,True,VALID
284,PAY1283,119,2,,False,INVALID
285,PAY1284,933,1,8636.39,True,VALID
286,PAY1285,531,2,14300.97,True,VALID
287,PAY1286,447,2,3512.23,True,VALID
288,PAY1287,732,1,1355.89,True,VALID
289,PAY1288,942,1,1551.73,True,VALID
290,PAY1289,745,1,9225.17,True,VALID
291,PAY1290,606,1,,False,INVALID
292,PAY1291,967,3,14419.64,True,VALID
293,PAY1292,763,3,2987.06,True,VALID
294,PAY1293,762,2,5266.12,True,VALID
295,PAY1294,794,2,12515.25,True,VALID
296,PAY1295,744,2,4062.36,True,VALID
297,PAY1296,46,3,4401.56,True,VALID
298,PAY1297,886,2,9992.33,True,VALID
299,PAY1298,508,2,4865.21,True,VALID
300,PAY1299,558,3,4044.27,True,VALID
301,PAY1300,971,2,4558.49,True,VALID
302,PAY1301,526,3,7869.06,True,VALID
303,PAY1302,597,3,14525.4,True,VALID
304,PAY1303,831,1,12651.33,True,VALID
305,PAY1304,840,1,4984.54,True,VALID
306,PAY1305,3,3,6087.22,True,VALID
307,PAY1306,28,3,7503.17,True,VALID
308,PAY1307,381,1,14705.02,True,VALID
309,PAY1308,157,2,3413.47,True,VALID
310,PAY1309,855,2,6004.76,True,VALID
311,PAY1310,914,2,11211.97,True,VALID
312,PAY1311,931,3,,False,INVALID
313,PAY1312,511,1,3179.45,True,VALID
314,PAY1313,333,2,4183.32,True,VALID
315,PAY1314,844,1,4159.73,True,VALID
316,PAY1315,687,1,1293.05,True,VALID
317,PAY1316,114,3,9457.62,True,VALID
318,PAY1317,389,2,10389.84,True,VALID
319,PAY1318,487,1,9435.36,True,VALID
320,PAY1319,843,3,1998.52,True,VALID
321,PAY1320,250,3,1969.22,True,VALID
322,PAY1321,571,3,3945.41,True,VALID
323,PAY1322,715,2,5064.12,True,VALID
324,PAY1323,315,2,,False,INVALID
325,PAY1324,239,3,3231.46,True,VALID
326,PAY1325,234,2,1617.29,True,VALID
327,PAY1326,303,2,6515.83,True,VALID
328,PAY1327,607,1,6829.49,True,VALID
329,PAY1328,991,3,,False,INVALID
330,PAY1329,653,3,12576.65,True,VALID
331,PAY1330,334,2,2372.08,True,VALID
332,PAY1331,113,3,10855.19,True,VALID
333,PAY1332,621,3,5731.24,True,VALID
334,PAY1333,362,3,5339.72,True,VALID
335,PAY1334,857,2,14055.6,True,VALID
336,PAY1335,801,2,4478.56,True,VALID
337,PAY1336,97,2,9995.45,True,VALID
338,PAY1337,958,1,4851.79,True,VALID
339,PAY1338,847,3,8100.01,True,VALID
340,PAY1339,16,1,12008.1,True,VALID
341,PAY1340,556,2,13344.12,True,VALID
342,PAY1341,954,1,12741.76,True,VALID
343,PAY1342,376,3,9150.53,True,VALID
344,PAY1343,742,3,4483.43,True,VALID
345,PAY1344,390,2,,False,INVALID
346,PAY1345,620,2,10938.67,True,VALID
347,PAY1346,217,1,1149.69,True,VALID
348,PAY1347,399,2,7148.95,True,VALID
349,PAY1348,260,1,12805.67,True,VALID
350,PAY1349,824,3,7854.23,True,VALID
351,PAY1350,320,3,5359.26,True,VALID
352,PAY1351,196,3,13205.17,True,VALID
353,PAY1352,478,3,3182.33,True,VALID
354,PAY1353,418,3,3890.23,True,VALID
355,PAY1354,475,1,10623.21,True,VALID
356,PAY1355,607,3,5934.1,True,VALID
357,PAY1356,568,1,10982.24,True,VALID
358,PAY1357,544,3,3207.85,True,VALID
359,PAY1358,231,1,4531.77,True,VALID
360,PAY1359,884,1,3193.06,True,VALID
361,PAY1360,521,1,14340.74,True,VALID
362,PAY1361,703,2,,False,INVALID
363,PAY1362,873,1,5721.08,True,VALID
364,PAY1363,200,1,1198.83,True,VALID
365,PAY1364,846,3,3147.85,True,VALID
366,PAY1365,673,1,6895.9,True,VALID
367,PAY1366,599,1,1959.04,True,VALID
368,PAY1367,21,2,8150.35,True,VALID
369,PAY1368,311,3,7370.22,True,VALID
370,PAY1369,588,2,11740.35,True,VALID
371,PAY1370,953,2,10237.24,True,VALID
372,PAY1371,898,2,7243.26,True,VALID
373,PAY1372,653,1,4145.25,True,VALID
374,PAY1373,638,2,11176.09,True,VALID
375,PAY1374,763,2,10910.07,True,VALID
376,PAY1375,900,3,3146.15,True,VALID
377,PAY1376,596,3,13806.53,True,VALID
378,PAY1377,434,3,1901.67,True,VALID
379,PAY1378,371,3,1770.53,True,VALID
380,PAY1379,560,2,3622.91,True,VALID
381,PAY1380,891,3,13732.45,True,VALID
382,PAY1381,78,1,8279.97,True,VALID
383,PAY1382,542,2,12031.17,True,VALID
384,PAY1383,285,3,4189.8,True,VALID
385,PAY1384,648,2,7863.11,True,VALID
386,PAY1385,140,3,6016.05,True,VALID
387,PAY1386,553,2,12589.6,True,VALID
388,PAY1387,998,3,,False,INVALID
389,PAY1388,282,1,4413.8,True,VALID
390,PAY1389,562,3,3136.04,True,VALID
391,PAY1390,258,2,13028.65,True,VALID
392,PAY1391,823,2,7545.61,True,VALID
393,PAY1392,360,1,,False,INVALID
394,PAY1393,440,2,7292.76,True,VALID
395,PAY1394,270,1,14606.94,True,VALID
396,PAY1395,134,2,12903.74,True,VALID
397,PAY1396,746,2,10889.16,True,VALID
398,PAY1397,640,1,5066.71,True,VALID
399,PAY1398,104,2,3312.42,True,VALID
400,PAY1399,766,2,13900.07,True,VALID
401,PAY1400,95,1,6923.06,True,VALID
402,PAY1401,849,3,4902.58,True,VALID
403,PAY1402,729,1,7592.89,True,VALID
404,PAY1403,573,2,13849.86,True,VALID
405,PAY1404,480,3,6418.94,True,VALID
406,PAY1405,780,3,8876.97,True,VALID
407,PAY1406,241,3,12241.53,True,VALID
408,PAY1407,13,1,6979.86,True,VALID
409,PAY1408,147,3,,False,INVALID
410,PAY1409,940,3,14923.36,True,VALID
411,PAY1410,752,3,14391.99,True,VALID
412,PAY1411,601,2,12808.71,True,VALID
413,PAY1412,95,1,10637.23,True,VALID
414,PAY1413,827,1,5128.12,True,VALID
415,PAY1414,293,2,13787.78,True,VALID
416,PAY1415,25,3,4857.79,True,VALID
417,PAY1416,272,2,12211.33,True,VALID
418,PAY1417,505,2,13855.61,True,VALID
419,PAY1418,166,3,9442.05,True,VALID
420,PAY1419,939,3,12242.79,True,VALID
421,PAY1420,762,1,12083.73,True,VALID
422,PAY1421,87,3,3704.21,True,VALID
423,PAY1422,654,2,10350.94,True,VALID
424,PAY1423,646,2,2308.55,True,VALID
425,PAY1424,985,3,8109.9,True,VALID
426,PAY1425,791,1,3271.3,True,VALID
427,PAY1426,638,2,6828.89,True,VALID
428,PAY1427,828,3,12661.75,True,VALID
429,PAY1428,491,1,,False,INVALID
430,PAY1429,908,1,5451.44,True,VALID
431,PAY1430,141,2,8447.38,True,VALID
432,PAY1431,868,2,8158.17,True,VALID
433,PAY1432,103,1,14361.62,True,VALID
434,PAY1433,226,1,,False,INVALID
435,PAY1434,902,1,10787.49,True,VALID
436,PAY1435,575,3,13905.05,True,VALID
437,PAY1436,294,2,6227.3,True,VALID
438,PAY1437,896,1,13629.71,True,VALID
439,PAY1438,306,2,13844.39,True,VALID
440,PAY1439,254,2,14029.28,True,VALID
441,PAY1440,180,2,4786.25,True,VALID
442,PAY1441,40,1,6604.98,True,VALID
443,PAY1442,776,3,13185.54,True,VALID
444,PAY1443,701,1,6028.27,True,VALID
445,PAY1444,520,2,9403.54,True,VALID
446,PAY1445,616,1,2652.76,True,VALID
447,PAY1446,737,1,1787.85,True,VALID
448,PAY1447,546,2,6767.92,True,VALID
449,PAY1448,236,2,,False,INVALID
450,PAY1449,463,1,6497.79,True,VALID
451,PAY1450,228,1,,False,INVALID
452,PAY1451,700,1,8211.18,True,VALID
453,PAY1452,825,1,10599.9,True,VALID
454,PAY1453,483,3,10093.45,True,VALID
455,PAY1454,430,1,6939.44,True,VALID
456,PAY1455,22,3,6949.93,True,VALID
457,PAY1456,343,2,,False,INVALID
458,PAY1457,40,3,8185.34,True,VALID
459,PAY1458,173,2,9220.51,True,VALID
460,PAY1459,439,3,7670.85,True,VALID
461,PAY1460,179,2,,False,INVALID
462,PAY1461,598,1,11103.08,True,VALID
463,PAY1462,133,3,2045.26,True,VALID
464,PAY1463,351,3,13802.17,True,VALID
465,PAY1464,525,2,1289.01,True,VALID
466,PAY1465,540,2,14472.9,True,VALID
467,PAY1466,506,3,7472.98,True,VALID
468,PAY1467,84,2,6777.38,True,VALID
469,PAY1468,993,1,4590.22,True,VALID
470,PAY1469,464,3,1141.0,True,VALID
471,PAY1470,830,1,4847.06,True,VALID
472,PAY1471,861,3,2531.6,True,VALID
473,PAY1472,343,1,10237.49,True,VALID
474,PAY1473,280,3,5467.05,True,VALID
475,PAY1474,866,2,11740.51,True,VALID
476,PAY1475,263,3,3896.83,True,VALID
477,PAY1476,166,1,13603.29,True,VALID
478,PAY1477,293,3,8321.74,True,VALID
479,PAY1478,509,1,2603.09,True,VALID
480,PAY1479,580,1,6611.83,True,VALID
481,PAY1480,226,1,3894.65,True,VALID
482,PAY1481,170,2,3795.6,True,VALID
483,PAY1482,598,3,8089.18,True,VALID
484,PAY1483,645,1,10406.49,True,VALID
485,PAY1484,448,2,13762.65,True,VALID
486,PAY1485,690,1,8030.27,True,VALID
487,PAY1486,855,3,14521.74,True,VALID
488,PAY1487,502,2,14182.89,True,VALID
489,PAY1488,764,1,,False,INVALID
490,PAY1489,527,1,7999.68,True,VALID
491,PAY1490,735,1,2972.66,True,VALID
492,PAY1491,379,3,4050.66,True,VALID
493,PAY1492,201,2,10067.38,True,VALID
494,PAY1493,619,2,6904.57,True,VALID
495,PAY1494,250,2,3055.22,True,VALID
496,PAY1495,949,1,7705.92,True,VALID
497,PAY1496,409,2,1244.03,True,VALID
498,PAY1497,601,1,11274.54,True,VALID
499,PAY1498,125,3,2030.14,True,VALID
500,PAY1499,113,2,9807.59,True,VALID
501,PAY1500,981,1,12102.14,True,VALID
502,PAY1501,137,2,2857.01,True,VALID
503,PAY1502,759,2,8260.94,True,VALID
504,PAY1503,496,3,11906.95,True,VALID
505,PAY1504,678,2,4648.87,True,VALID
506,PAY1505,150,3,3280.83,True,VALID
507,PAY1506,875,2,5715.47,True,VALID
508,PAY1507,343,2,8765.79,True,VALID
509,PAY1508,945,2,9053.91,True,VALID
510,PAY1509,580,2,2832.27,True,VALID
511,PAY1510,733,2,7405.96,True,VALID
512,PAY1511,783,2,4755.95,True,VALID
513,PAY1512,321,3,12788.34,True,VALID
514,PAY1513,822,3,5390.05,True,VALID
515,PAY1514,926,1,12741.86,True,VALID
516,PAY1515,861,2,6999.9,True,VALID
517,PAY1516,532,3,11172.2,True,VALID
518,PAY1517,289,2,8140.84,True,VALID
519,PAY1518,489,2,9707.48,True,VALID
520,PAY1519,492,3,6534.99,True,VALID
521,PAY1520,612,2,11754.89,True,VALID
522,PAY1521,252,3,6952.65,True,VALID
523,PAY1522,982,3,7404.46,True,VALID
524,PAY1523,77,1,8247.5,True,VALID
525,PAY1524,647,1,12645.54,True,VALID
526,PAY1525,392,1,10231.31,True,VALID
527,PAY1526,412,1,5888.25,True,VALID
528,PAY1527,173,2,10384.47,True,VALID
529,PAY1528,875,2,9993.97,True,VALID
530,PAY1529,201,1,14034.27,True,VALID
531,PAY1530,217,3,12779.83,True,VALID
532,PAY1531,376,3,10064.26,True,VALID
533,PAY1532,720,3,5781.1,True,VALID
534,PAY1533,586,3,11914.07,True,VALID
535,PAY1534,11,2,,False,INVALID
536,PAY1535,799,3,14793.78,True,VALID
537,PAY1536,768,3,4465.09,True,VALID
538,PAY1537,12,1,2115.18,True,VALID
539,PAY1538,892,3,1978.49,True,VALID
540,PAY1539,991,2,9960.43,True,VALID
541,PAY1540,590,3,14149.64,True,VALID
542,PAY1541,435,3,1027.05,True,VALID
543,PAY1542,684,2,11160.79,True,VALID
544,PAY1543,608,1,10198.91,True,VALID
545,PAY1544,818,2,11252.26,True,VALID
546,PAY1545,373,1,5975.68,True,VALID
547,PAY1546,273,3,12486.95,True,VALID
548,PAY1547,931,1,1625.9,True,VALID
549,PAY1548,897,1,,False,INVALID
550,PAY1549,925,1,4739.01,True,VALID
551,PAY1550,691,3,7675.73,True,VALID
552,PAY1551,576,1,12516.91,True,VALID
553,PAY1552,509,1,4799.03,True,VALID
554,PAY1553,132,3,3592.91,True,VALID
555,PAY1554,855,2,10538.38,True,VALID
556,PAY1555,924,2,8467.53,True,VALID
557,PAY1556,784,2,8201.65,True,VALID
558,PAY1557,319,3,4594.77,True,VALID
559,PAY1558,844,3,1488.32,True,VALID
560,PAY1559,949,2,6743.77,True,VALID
561,PAY1560,853,1,2491.83,True,VALID
562,PAY1561,621,2,13683.85,True,VALID
563,PAY1562,785,3,1577.5,True,VALID
564,PAY1563,168,1,7043.11,True,VALID
565,PAY1564,397,1,1731.44,True,VALID
566,PAY1565,180,3,2337.61,True,VALID
567,PAY1566,58,1,10224.13,True,VALID
568,PAY1567,480,2,10059.56,True,VALID
569,PAY1568,933,3,,False,INVALID
570,PAY1569,591,3,1015.84,True,VALID
571,PAY1570,460,3,2103.45,True,VALID
572,PAY1571,61,3,11681.98,True,VALID
573,PAY1572,369,1,9184.07,True,VALID
574,PAY1573,121,3,1533.66,True,VALID
575,PAY1574,719,3,7833.36,True,VALID
576,PAY1575,546,1,10968.41,True,VALID
577,PAY1576,582,3,,False,INVALID
578,PAY1577,17,1,14076.51,True,VALID
579,PAY1578,496,1,5584.17,True,VALID
580,PAY1579,497,3,2901.65,True,VALID
581,PAY1580,505,2,4316.96,True,VALID
582,PAY1581,532,3,,False,INVALID
583,PAY1582,969,2,14600.78,True,VALID
584,PAY1583,315,1,7529.51,True,VALID
585,PAY1584,69,2,5274.94,True,VALID
586,PAY1585,727,3,7008.67,True,VALID
587,PAY1586,161,3,5267.38,True,VALID
588,PAY1587,614,2,4590.83,True,VALID
589,PAY1588,888,3,9312.51,True,VALID
590,PAY1589,718,2,1220.3,True,VALID
591,PAY1590,145,1,,False,INVALID
592,PAY1591,569,2,,False,INVALID
593,PAY1592,595,2,1448.88,True,VALID
594,PAY1593,993,2,2164.83,True,VALID
595,PAY1594,385,2,5107.55,True,VALID
596,PAY1595,269,1,13289.27,True,VALID
597,PAY1596,923,1,11708.41,True,VALID
598,PAY1597,454,1,1310.19,True,VALID
599,PAY1598,699,2,8023.98,True,VALID
600,PAY1599,518,1,,False,INVALID
601,PAY1600,865,3,10081.04,True,VALID
602,PAY1601,350,1,11101.75,True,VALID
603,PAY1602,110,2,13080.08,True,VALID
604,PAY1603,483,3,7655.83,True,VALID
605,PAY1604,407,2,14922.3,True,VALID
606,PAY1605,650,3,14719.81,True,VALID
607,PAY1606,51,2,13350.33,True,VALID
608,PAY1607,403,2,9048.17,True,VALID
609,PAY1608,563,3,6572.09,True,VALID
610,PAY1609,476,1,6101.41,True,VALID
611,PAY1610,87,3,1169.75,True,VALID
