flight_key,flight_id,airline_key,route_key,departure_date_key,arrival_date_key,departure_time,arrival_time,duration_minutes,is_overnight,is_anomaly
22,6F164,2,1,20260420,20260421,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,True,False
23,UK021,5,25,20260420,20260420,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,False,False
24,SJ172,3,13,20260420,20260421,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,True,False
25,AI060,1,19,20260420,20260420,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,False,False
26,SJ205,3,23,20260420,20260420,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,False,False
27,SJ093,3,1,20260420,20260420,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,False,False
28,6F195,2,13,20260420,20260420,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,False,False
29,UK003,4,24,20260420,20260421,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,True,False
30,UK026,5,25,20260420,20260420,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,False,False
31,6F174,2,19,20260420,20260420,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,False,False
32,UK067,5,7,20260420,20260421,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,True,False
33,SJ149,3,25,20260420,20260420,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.0,False,False
34,6F213,2,1,20260420,20260421,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,True,False
35,UK200,5,13,20260420,20260420,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,False,False
36,SJ214,3,10,20260420,20260420,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,False,False
37,SJ047,3,22,20260420,20260420,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,False,False
38,AI179,1,22,20260420,20260421,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,True,False
39,SJ153,3,18,20260420,20260420,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,False,False
40,6F236,2,8,20260420,20260420,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,False
41,UK059,5,25,20260420,20260420,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,False,False
42,SJ001,3,10,20260420,20260421,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,True,False
43,SJ049,3,13,20260420,20260421,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,True,False
44,6F086,2,30,20260420,20260420,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,False
45,AI220,1,8,20260420,20260420,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,False,False
46,AI188,1,14,20260420,20260420,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,False,False
47,6F114,2,10,20260420,20260420,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,False
48,SJ179,3,19,20260420,20260420,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,False,False
49,6F190,2,20,20260420,20260421,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,True,False
50,SJ003,3,28,20260420,20260420,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,False,False
51,6F028,2,23,20260420,20260420,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,False
52,UK036,5,11,20260420,20260421,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,True,False
53,SJ160,3,26,20260420,20260420,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,False,False
54,6F151,2,14,20260420,20260420,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,False
55,UK140,5,26,20260420,20260420,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,False,False
56,AI115,1,26,20260420,20260421,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,True,False
57,AI132,1,1,20260420,20260420,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,False,False
58,UK209,4,26,20260420,20260420,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0,False,False
59,SJ043,4,29,20260420,20260420,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,False,False
60,UK176,5,21,20260420,20260420,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,False,False
61,UK216,5,30,20260420,20260420,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,False,False
62,UK150,5,18,20260420,20260420,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0,False,False
63,UK145,5,9,20260420,20260420,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,False,False
64,6F270,4,25,20260420,20260420,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,48.0,False,False
65,6F012,2,14,20260420,20260420,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,False
66,SJ236,3,27,20260420,20260420,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,False,False
67,6F149,2,2,20260420,20260420,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,False
68,UK004,5,7,20260420,20260420,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0,False,False
69,UK010,5,30,20260420,20260420,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,False,False
70,UK215,5,8,20260420,20260420,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,False,False
71,SJ116,3,23,20260420,20260420,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,False,False
72,SJ023,3,25,20260420,20260420,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,False,False
73,UK152,5,7,20260420,20260420,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,False,False
74,SJ202,3,14,20260420,20260420,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,False,False
75,6F043,2,9,20260420,20260420,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,False,False
76,UK173,5,26,20260420,20260420,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,False,False
77,SJ081,3,6,20260420,20260420,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0,False,False
78,UK153,5,14,20260420,20260420,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,False,False
79,UK187,5,1,20260420,20260420,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0,False,False
80,UK055,5,24,20260420,20260420,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,False,False
81,UK181,5,29,20260420,20260420,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,False,False
82,UK074,5,8,20260420,20260420,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0,False,False
83,SJ068,3,1,20260420,20260420,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0,False,False
84,AI242,4,2,20260420,20260420,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,False,False
85,SJ237,3,7,20260420,20260420,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0,False,False
86,6F194,2,7,20260420,20260420,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,False,False
87,UK063,5,17,20260420,20260420,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,72.0,False,False
88,UK068,5,5,20260420,20260420,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0,False,False
89,UK224,4,15,20260420,20260420,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0,False,False
90,UK077,4,22,20260420,20260420,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0,False,False
91,UK207,5,28,20260420,20260420,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,75.0,False,False
92,AI221,1,30,20260420,20260420,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0,False,False
93,UK109,5,1,20260420,20260420,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,60.0,False,False
94,UK089,5,9,20260420,20260420,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,False,False
95,AI072,1,2,20260420,20260420,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,58.0,False,False
96,UK131,5,8,20260420,20260420,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,False,False
97,SJ150,3,9,20260420,20260420,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,False,False
98,6F097,2,1,20260420,20260420,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,False,False
99,6F123,2,19,20260420,20260420,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,False,False
100,6F017,2,12,20260420,20260420,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False
101,6F245,2,12,20260420,20260420,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False
102,6F180,2,26,20260420,20260420,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,False,False
103,6F152,2,13,20260420,20260420,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,False,False
104,SJ034,3,27,20260420,20260420,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,False,False
105,SJ142,3,12,20260420,20260420,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,102.0,False,False
106,UK189,5,5,20260420,20260420,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,False,False
107,SJ044,3,18,20260420,20260420,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0,False,False
108,SJ196,3,19,20260420,20260420,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0,False,False
109,6F188,2,19,20260420,20260420,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,False,False
110,6F181,2,10,20260420,20260420,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0,False,False
111,6F077,2,13,20260420,20260420,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,False
112,SJ154,3,4,20260420,20260420,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,99.0,False,False
113,AI025,1,24,20260420,20260420,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,145.0,False,False
114,AI094,1,16,20260420,20260420,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,60.0,False,False
115,6F191,2,3,20260420,20260420,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0,False,False
116,SJ085,3,5,20260420,20260420,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,False,False
117,6F261,4,13,20260420,20260420,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,178.0,False,False
118,6F129,2,18,20260420,20260420,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,False,False
119,6F254,4,26,20260420,20260420,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,215.0,False,False
120,SJ185,3,7,20260420,20260420,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,60.0,False,False
121,6F030,2,8,20260420,20260420,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,False,False
122,SJ222,3,8,20260420,20260420,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,174.0,False,False
123,6F259,4,8,20260420,20260420,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,71.0,False,False
124,UK083,5,19,20260420,20260420,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,49.0,False,False
125,6F051,2,1,20260420,20260420,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,False,False
126,SJ088,3,15,20260420,20260420,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,32.0,False,False
127,6F146,2,25,20260420,20260420,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,False,False
128,6F047,2,29,20260420,20260420,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,False,False
129,AI077,1,14,20260420,20260420,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,66.0,False,False
130,UK134,5,23,20260420,20260420,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,222.0,False,False
131,AI056,1,20,20260420,20260420,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,235.0,False,False
132,UK141,4,25,20260420,20260420,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,141.0,False,False
133,AI030,1,14,20260420,20260420,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,199.0,False,False
134,AI029,1,29,20260420,20260420,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0,False,False
135,SJ167,3,28,20260420,20260420,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,54.0,False,False
136,UK017,5,4,20260420,20260420,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,95.0,False,False
137,6F229,2,29,20260420,20260420,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0,False,False
138,SJ117,3,26,20260420,20260420,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,236.0,False,False
139,6F184,2,27,20260420,20260420,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0,False,False
140,AI031,1,20,20260420,20260420,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,186.0,False,False
141,AI178,1,11,20260420,20260420,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,59.0,False,False
142,SJ089,3,23,20260420,20260420,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,273.0,False,False
143,UK166,5,25,20260420,20260420,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,293.0,False,False
144,UK104,5,17,20260420,20260420,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,82.0,False,False
145,6F168,2,24,20260420,20260420,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,False,False
146,AI222,4,8,20260420,20260420,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,64.0,False,False
147,SJ025,3,7,20260420,20260420,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,207.0,False,False
148,6F255,4,17,20260420,20260420,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,214.0,False,False
149,UK228,5,20,20260420,20260420,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,190.0,False,False
150,6F158,2,15,20260420,20260420,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,False,False
151,SJ218,3,19,20260420,20260420,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,185.0,False,False
152,6F034,2,8,20260420,20260420,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,False,False
153,UK156,5,26,20260420,20260420,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,244.0,False,False
154,6F105,2,1,20260420,20260420,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,False,False
155,6F073,2,18,20260420,20260420,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,False,False
156,SJ074,3,18,20260420,20260420,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,41.0,False,False
157,6F234,2,8,20260420,20260420,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0,False,False
158,6F068,2,4,20260420,20260420,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,False,False
159,6F074,2,22,20260420,20260420,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,False,False
160,AI038,1,25,20260420,20260420,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,279.0,False,False
161,AI079,1,11,20260420,20260420,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,135.0,False,False
162,SJ018,3,7,20260420,20260420,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,153.0,False,False
163,6F018,2,16,20260420,20260420,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,False,False
164,AI091,1,15,20260420,20260420,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,263.0,False,False
165,UK071,5,19,20260420,20260420,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,196.0,False,False
166,AI019,1,7,20260420,20260420,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,62.0,False,False
167,UK212,5,25,20260420,20260420,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,45.0,False,False
168,AI146,1,3,20260420,20260420,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,186.0,False,False
169,6F232,2,26,20260420,20260420,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0,False,False
170,6F084,2,14,20260420,20260420,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.0,False,False
171,AI129,1,7,20260420,20260420,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,189.0,False,False
172,AI240,1,29,20260420,20260420,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,147.0,False,False
173,6F091,2,2,20260420,20260420,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,False,False
174,UK133,5,8,20260420,20260420,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,192.0,False,False
175,SJ007,3,7,20260420,20260420,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,290.0,False,False
176,SJ141,3,13,20260420,20260420,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,217.0,False,False
177,6F049,2,24,20260420,20260420,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,False,False
178,SJ235,3,8,20260420,20260420,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,228.0,False,False
179,UK087,5,25,20260420,20260420,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,208.0,False,False
180,UK170,5,6,20260420,20260420,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,110.0,False,False
181,SJ078,3,19,20260420,20260420,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,188.0,False,False
182,SJ075,3,26,20260420,20260420,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,97.0,False,False
183,AI159,1,21,20260420,20260420,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,133.0,False,False
184,UK120,5,24,20260420,20260420,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,251.0,False,False
185,AI059,1,13,20260420,20260420,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,147.0,False,False
186,UK040,5,23,20260420,20260420,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,77.0,False,False
187,AI044,4,26,20260420,20260420,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,213.0,False,False
188,AI078,1,17,20260420,20260420,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,270.0,False,False
189,SJ226,3,22,20260420,20260420,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,247.0,False,False
190,6F209,2,28,20260420,20260420,2026-04-20 08:40:41.703,2026-04-20 13:40:41.703,300.0,False,False
191,UK193,5,24,20260420,20260420,2026-04-20 08:39:41.703,2026-04-20 09:14:41.703,35.0,False,False
192,6F092,2,26,20260420,20260420,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,36.0,False,False
193,AI208,1,1,20260420,20260420,2026-04-20 08:38:41.703,2026-04-20 11:52:41.703,194.0,False,False
194,SJ227,3,7,20260420,20260420,2026-04-20 08:32:41.704,2026-04-20 12:53:41.704,261.0,False,False
195,6F238,2,8,20260420,20260420,2026-04-20 08:31:41.704,2026-04-20 09:19:41.704,48.0,False,False
196,AI084,1,9,20260420,20260420,2026-04-20 08:31:41.702,2026-04-20 09:46:41.702,75.0,False,False
197,SJ228,3,7,20260420,20260420,2026-04-20 08:29:41.704,2026-04-20 12:16:41.704,227.0,False,False
198,UK194,5,12,20260420,20260420,2026-04-20 08:26:41.703,2026-04-20 09:26:42.000,60.0,False,False
199,6F126,2,15,20260420,20260420,2026-04-20 08:21:41.702,2026-04-20 09:39:41.702,78.0,False,False
200,SJ052,3,26,20260420,20260420,2026-04-20 08:20:41.701,2026-04-20 09:57:41.701,97.0,False,False
201,AI233,1,1,20260420,20260420,2026-04-20 08:04:41.704,2026-04-20 09:52:41.704,108.0,False,False
202,AI213,1,23,20260420,20260420,2026-04-20 08:03:41.703,2026-04-20 09:14:41.703,71.0,False,False
203,UK076,5,28,20260420,20260420,2026-04-20 08:03:41.702,2026-04-20 12:26:41.702,263.0,False,False
204,SJ022,3,16,20260420,20260420,2026-04-20 07:56:41.701,2026-04-20 11:07:41.701,191.0,False,False
205,SJ002,3,17,20260420,20260420,2026-04-20 07:54:41.701,2026-04-20 12:40:41.701,286.0,False,False
206,AI163,1,25,20260420,20260420,2026-04-20 07:45:41.703,2026-04-20 08:46:41.703,61.0,False,False
207,UK229,4,24,20260420,20260420,2026-04-20 07:40:41.704,2026-04-20 11:57:41.704,257.0,False,False
208,UK185,5,20,20260420,20260420,2026-04-20 07:31:41.703,2026-04-20 08:48:41.703,77.0,False,False
209,6F029,2,6,20260420,20260420,2026-04-20 07:31:41.701,2026-04-20 11:45:41.701,254.0,False,False
210,6F056,2,10,20260420,20260420,2026-04-20 07:00:41.701,2026-04-20 08:49:41.701,109.0,False,False
211,AI062,1,29,20260420,20260420,2026-04-20 06:49:41.701,2026-04-20 07:25:41.701,36.0,False,False
212,UK034,5,16,20260420,20260420,2026-04-20 06:47:41.701,2026-04-20 10:11:41.701,204.0,False,False
213,UK079,5,16,20260420,20260420,2026-04-20 06:43:41.702,2026-04-20 10:34:41.702,231.0,False,False
214,AI135,1,1,20260420,20260420,2026-04-20 06:40:41.702,2026-04-20 09:21:41.702,161.0,False,False
215,SJ061,3,26,20260420,20260420,2026-04-20 06:38:41.701,2026-04-20 09:35:41.701,177.0,False,False
216,AI047,4,15,20260420,20260420,2026-04-20 06:36:41.701,2026-04-20 07:23:41.701,47.0,False,False
217,UK210,5,18,20260420,20260420,2026-04-20 06:35:41.704,2026-04-20 07:30:41.704,55.0,False,False
218,AI088,4,29,20260420,20260420,2026-04-20 06:34:41.702,2026-04-20 10:10:41.702,216.0,False,False
219,UK177,5,19,20260420,20260420,2026-04-20 06:21:41.703,2026-04-20 10:50:41.703,269.0,False,False
220,AI128,4,7,20260420,20260420,2026-04-20 06:07:41.702,2026-04-20 10:03:41.702,236.0,False,False
221,AI158,1,13,20260420,20260420,2026-04-20 06:04:41.703,2026-04-20 09:01:41.703,177.0,False,False
222,UK206,5,26,20260420,20260420,2026-04-20 06:01:41.703,2026-04-20 10:34:41.703,273.0,False,False
223,SJ138,4,1,20260420,20260420,2026-04-20 05:55:41.702,2026-04-20 06:43:41.702,48.0,False,False
224,AI034,1,17,20260420,20260420,2026-04-20 05:48:41.701,2026-04-20 10:31:41.701,283.0,False,False
225,AI012,1,7,20260420,20260420,2026-04-20 05:44:41.701,2026-04-20 09:47:41.701,243.0,False,False
226,6F083,2,3,20260420,20260420,2026-04-20 05:24:41.702,2026-04-20 06:03:41.702,39.0,False,False
227,SJ083,3,26,20260420,20260420,2026-04-20 05:13:41.702,2026-04-20 08:17:41.702,184.0,False,False
228,SJ186,3,13,20260420,20260420,2026-04-20 05:11:41.703,2026-04-20 07:22:41.703,131.0,False,False
229,UK001,5,13,20260420,20260420,2026-04-20 05:06:41.700,2026-04-20 06:31:41.700,85.0,False,False
230,AI217,1,11,20260420,20260420,2026-04-20 04:57:41.703,2026-04-20 07:14:41.703,137.0,False,False
231,6F178,2,7,20260420,20260420,2026-04-20 04:48:41.703,2026-04-20 09:11:41.703,263.0,False,False
232,UK015,5,1,20260420,20260420,2026-04-20 04:46:41.701,2026-04-20 06:33:41.701,107.0,False,False
233,AI112,1,16,20260420,20260420,2026-04-20 04:41:41.702,2026-04-20 08:24:41.702,223.0,False,False
234,UK100,5,11,20260420,20260420,2026-04-20 04:40:41.702,2026-04-20 07:12:41.702,152.0,False,False
235,6F133,2,26,20260420,20260420,2026-04-20 04:38:41.702,2026-04-20 06:25:41.702,107.0,False,False
236,AI227,1,5,20260420,20260420,2026-04-20 04:31:41.703,2026-04-20 08:17:41.703,226.0,False,False
237,UK093,5,23,20260420,20260420,2026-04-20 04:31:41.702,2026-04-20 05:21:41.702,50.0,False,False
238,UK203,5,4,20260420,20260420,2026-04-20 04:12:41.703,2026-04-20 05:24:41.703,72.0,False,False
239,UK154,5,30,20260420,20260420,2026-04-20 04:00:41.703,2026-04-20 07:57:41.703,237.0,False,False
240,UK073,5,2,20260420,20260420,2026-04-20 03:59:41.702,2026-04-20 08:09:41.702,250.0,False,False
241,AI164,1,16,20260420,20260420,2026-04-20 03:57:41.703,2026-04-20 05:45:41.703,108.0,False,False
242,UK008,5,11,20260420,20260420,2026-04-20 03:57:41.701,2026-04-20 04:34:41.701,37.0,False,False
243,UK051,5,24,20260420,20260420,2026-04-20 03:55:41.701,2026-04-20 06:55:41.701,180.0,False,False
244,UK208,5,18,20260420,20260420,2026-04-20 03:54:41.704,2026-04-20 08:51:41.704,297.0,False,False
245,AI150,1,8,20260420,20260420,2026-04-20 03:51:41.703,2026-04-20 04:38:41.703,47.0,False,False
246,AI189,1,13,20260420,20260420,2026-04-20 03:44:41.703,2026-04-20 05:32:41.703,108.0,False,False
