payment_id,booking_id,amount,payment_method,dq_rule,dq_severity,dq_reason
PAY1026,B1120,,CARD,PY004,HIGH,Missing payment amount
PAY1060,B1572,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1069,B1578,,UPI,PY004,HIGH,Missing payment amount
PAY1071,B1174,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1184,B1019,,UPI,PY004,HIGH,Missing payment amount
PAY1186,B1132,,UPI,PY004,HIGH,Missing payment amount
PAY1207,B1159,,CARD,PY004,HIGH,Missing payment amount
PAY1220,B1805,,CARD,PY004,HIGH,Missing payment amount
PAY1256,B1124,,CARD,PY004,HIGH,Missing payment amount
PAY1269,B1660,,CARD,PY004,HIGH,Missing payment amount
PAY1273,B1341,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1283,B1118,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1311,B1930,,UPI,PY004,HIGH,Missing payment amount
PAY1328,B1990,,UPI,PY004,HIGH,Missing payment amount
PAY1344,B1389,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1361,B1702,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1387,B1997,,UPI,PY004,HIGH,Missing payment amount
PAY1392,B1359,,CARD,PY004,HIGH,Missing payment amount
PAY1456,B1342,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1460,B1178,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1548,B1896,,CARD,PY004,HIGH,Missing payment amount
PAY1568,B1932,,UPI,PY004,HIGH,Missing payment amount
PAY1581,B1531,,UPI,PY004,HIGH,Missing payment amount
PAY1591,B1568,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1599,B1517,,CARD,PY004,HIGH,Missing payment amount
PAY1615,B1730,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1623,B1111,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1644,B1521,,UPI,PY004,HIGH,Missing payment amount
PAY1657,B1821,,UPI,PY004,HIGH,Missing payment amount
PAY1664,B1033,,UPI,PY004,HIGH,Missing payment amount
PAY1704,B1446,,UPI,PY004,HIGH,Missing payment amount
PAY1705,B1289,,UPI,PY004,HIGH,Missing payment amount
PAY1710,B1426,,CARD,PY004,HIGH,Missing payment amount
PAY1721,B1254,,UPI,PY004,HIGH,Missing payment amount
PAY1742,B1532,,CARD,PY004,HIGH,Missing payment amount
PAY1748,B1821,,CARD,PY004,HIGH,Missing payment amount
PAY1757,B1056,,CARD,PY004,HIGH,Missing payment amount
PAY1766,B1923,,UPI,PY004,HIGH,Missing payment amount
PAY1838,B1241,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1890,B1272,,UPI,PY004,HIGH,Missing payment amount
PAY1921,B1514,,UPI,PY004,HIGH,Missing payment amount
PAY1922,B1192,,UPI,PY004,HIGH,Missing payment amount
PAY1925,B1872,,NETBANKING,PY004,HIGH,Missing payment amount
PAY1949,B1376,,UPI,PY004,HIGH,Missing payment amount
PAY1961,B1585,,UPI,PY004,HIGH,Missing payment amount
PAY1992,B1997,,CARD,PY004,HIGH,Missing payment amount
